USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.5 185156  5132 ?        Ss    2019   1:27 /lib/systemd/systemd --system --deserialize 26
daemon    1346  0.0  0.1  26040  1848 ?        Ss    2019   0:00 /usr/sbin/atd -f
root      1354  0.0  0.2  27724  2456 ?        Ss    2019   0:11 /usr/sbin/cron -f
message+  1357  0.0  0.2  43008  2904 ?        Ss    2019   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
mongodb   1369  0.6  2.6 723192 26996 ?        Ssl   2019 669:20 /usr/bin/mongod --config /etc/mongodb.conf
root      1383  0.0  0.4  65508  4112 ?        Ss    2019   3:45 /usr/sbin/sshd -D
root      1404  0.0  0.0  13368   140 ?        Ss    2019   0:00 /sbin/mdadm --monitor --pid-file /run/mdadm/monitor.pid --daemonise --scan --syslog
root      1427  0.0  0.2 277084  2116 ?        Ssl   2019   0:00 /usr/lib/policykit-1/polkitd --no-debug
root      1482  0.0  0.1  14468  1812 ttyS0    Ss+   2019   0:00 /sbin/agetty --keep-baud 115200 38400 9600 ttyS0 vt220
root      1485  0.0  0.2  65828  2696 tty1     Ss    2019   0:00 /bin/login --
root      1918  0.0  0.1  36836  1956 ?        Ss    2019   0:00 /lib/systemd/systemd --user
root      1920  0.0  0.2  61400  2096 ?        S     2019   0:00 (sd-pam)
root      1928  0.0  0.4  21356  4880 tty1     S     2019   0:01 -bash
systemd+  6952  0.0  0.2 100320  2308 ?        Ssl  Feb06   0:02 /lib/systemd/systemd-timesyncd
root      6954  0.0  0.0      0     0 ?        S    Feb06   0:56 [kworker/0:2]
root      7582  0.0  0.2  42364  2500 ?        Ss   Feb06   0:02 /lib/systemd/systemd-udevd
root      9747  0.0  0.0      0     0 ?        S    16:06   0:00 [kworker/0:0]
root     10526  0.0  0.0      0     0 ?        S    16:48   0:00 [kworker/0:1]
root     10527  0.0  0.0      0     0 ?        S    16:48   0:00 [kworker/u2:2]
root     10562  0.0  0.6  92676  6508 ?        Ss   16:50   0:00 sshd: unknown [priv]
sshd     10563  0.0  0.3  65508  3212 ?        S    16:50   0:00 sshd: unknown [net]
root     10564  0.0  0.3  36080  3220 tty1     R+   16:50   0:00 ps aux
root     12553  0.0  4.7 887248 48492 tty1     Sl   Jan25   6:29 /usr/local/bin/node /api/web-server/server.js
root     19682  0.0  0.0      0     0 ?        S    Mar07   0:01 [kworker/u2:0]
root     22502  0.0  0.0      0     0 ?        S    Mar07   0:01 [kworker/u2:1]
root     28243  0.0  0.0      0     0 ?        S<   Jan08   0:00 [xfsalloc]
root     28244  0.0  0.0      0     0 ?        S<   Jan08   0:00 [xfs_mru_cache]
